repo,ecosystem,language,stars,months_since_push,total_ghsa,fixed_ghsa,fix_coverage_pct,packages
FriendsOfPHP/security-advisories,"Maven, NuGet, RubyGems, npm, packagist, pypi",PHP,2121,0.0,1109,1100,99,"3f/pygmentize, PyNaCl, adodb/adodb-php, alterphp/easyadmin-extension-bundle, amphp/artax, amphp/http, amphp/http-client, api-platform/core, api-platform/graphql, asymmetricrypt/asymmetricrypt, aws/aws"
rubysec/ruby-advisory-db,"Dart/pub, Elixir/hex, Go, Maven, NuGet, RubyGems, crates.io, npm, packagist, pypi, swifturl",Ruby,1063,0.0,830,780,94,"@openc3/tool-common, @turbo-boost/commands, Bootstrap.Less, MPXJ.Net, Pubnub, RedCloth, action_text-trix, actionmailer, actionpack, actiontext, actionview, active_attr, activeadmin, activejob, activem"
openclaw/openclaw,"NuGet, npm",TypeScript,376642,0.0,663,609,92,"@clawdbot/voice-call, @openclaw/bluebubbles, @openclaw/nextcloud-talk, @openclaw/voice-call, OpenClaw, clawdbot, moltbot, openclaw"
tensorflow/tensorflow,pypi,C++,195396,0.0,434,434,100,"tensorflow, tensorflow-cpu, tensorflow-gpu"
moodle/moodle,packagist,PHP,7138,0.3,416,407,98,"moodle/moodle, typo3/cms"
magento/magento2,packagist,PHP,12121,0.1,322,319,99,"magento/community-edition, magento/core, magento/magento1ce, magento/magento1ee, magento/product-community-edition, magento/project-community-edition, magneto/core"
liferay/liferay-portal,"Maven, npm",Java,2249,0.0,297,279,94,"ccom.liferay:com.liferay.dynamic.data.mapping.web, com.liferay.commerce:com.liferay.commerce.account.web, com.liferay.commerce:com.liferay.commerce.address.content.web, com.liferay.commerce:com.lifera"
mattermost/mattermost,"Go, npm",TypeScript,36980,0.0,277,275,99,"github.com/mattermost/mattermost, github.com/mattermost/mattermost-plugin-calls, github.com/mattermost/mattermost-plugin-github, github.com/mattermost/mattermost-plugin-jira, github.com/mattermost/mat"
xwiki/xwiki-platform,Maven,Java,1258,0.0,235,233,99,"com.xpn.xwiki.platform.plugins:xwiki-plugin-scheduler, com.xpn.xwiki.platform:xwiki-core-rest-server, com.xpn.xwiki.platform:xwiki-rest, org.xwiki.commons:xwiki-commons-core, org.xwiki.contrib:applica"
chakra-core/ChakraCore,NuGet,JavaScript,9253,3.4,223,219,98,Microsoft.ChakraCore
jenkinsci/jenkins,Maven,Java,25325,0.0,219,218,100,"org.jenkins-ci.main:cli, org.jenkins-ci.main:jenkins-core, org.jenkins-ci.main:remoting, org.kohsuke.stapler:stapler-parent"
apache/tomcat,"Go, Maven, swifturl",Java,8179,0.0,183,179,98,"com.typesafe.akka:akka-http-core, com.typesafe.akka:akka-http-core_2.11, com.typesafe.akka:akka-http-core_2.12, com.typesafe.akka:akka-http-core_2.13, commons-fileupload:commons-fileupload, github.com"
keycloak/keycloak,"Go, Maven, npm",Java,34728,0.0,176,138,78,"@keycloak/keycloak-admin-client, github.com/keycloak/keycloak-gatekeeper, org.keycloak:keycloak-account-ui, org.keycloak:keycloak-adapter-core, org.keycloak:keycloak-admin-ui, org.keycloak:keycloak-au"
TYPO3/typo3,"npm, packagist",PHP,1190,0.0,165,162,98,"ckeditor-wordcount-plugin, derhansen/fe_change_pwd, typo3/cms, typo3/cms-backend, typo3/cms-belog, typo3/cms-beuser, typo3/cms-core, typo3/cms-dashboard, typo3/cms-extensionmanager, typo3/cms-fluid, t"
django/django,"Maven, NuGet, RubyGems, npm, packagist, pypi",Python,87632,0.0,152,151,99,"Django, django, jQuery, jquery, jquery-rails, maximebf/debugbar, org.webjars.npm:jquery"
apache/airflow,pypi,Python,45684,0.0,150,150,100,"airflow, apache-airflow, apache-airflow-core, apache-airflow-providers-amazon, apache-airflow-providers-apache-drill, apache-airflow-providers-apache-hdfs, apache-airflow-providers-apache-hive, apache"
WWBN/AVideo,packagist,JavaScript,2095,0.0,149,13,9,"WWBN/AVideo, wwbn/avideo"
pimcore/pimcore,packagist,PHP,3772,0.0,142,138,97,"pimcore/admin-ui-classic-bundle, pimcore/customer-data-framework, pimcore/customer-management-framework-bundle, pimcore/data-importer, pimcore/pimcore, pimcore/web2print-tools-bundle"
ImageMagick/ImageMagick,"Go, NuGet, crates.io, npm, pypi",C,16606,0.0,126,124,98,"Magick.NET-Q16-AnyCPU, Magick.NET-Q16-HDRI-AnyCPU, Magick.NET-Q16-HDRI-OpenMP-arm64, Magick.NET-Q16-HDRI-OpenMP-x64, Magick.NET-Q16-HDRI-arm64, Magick.NET-Q16-HDRI-x64, Magick.NET-Q16-HDRI-x86, Magick"
parse-community/parse-server,npm,JavaScript,21396,0.0,109,109,100,parse-server
Dolibarr/dolibarr,packagist,PHP,7280,0.0,109,67,61,dolibarr/dolibarr
rails/rails,"RubyGems, npm",Ruby,58477,0.0,108,107,99,"actionmailer, actionpack, actiontext, actionview, activejob, activemodel, activerecord, activeresource, activestorage, activesupport, decidim, decidim-core, rails, trix"
microweber/microweber,packagist,HTML,3416,0.0,105,75,71,microweber/microweber
craftcms/cms,packagist,PHP,3575,0.0,104,98,94,"craftcms/cms, craftcms/craft"
librenms/librenms,packagist,PHP,4745,0.0,96,90,94,librenms/librenms
open-webui/open-webui,"npm, pypi",Python,139914,0.0,96,73,76,"open-webu, open-webui"
symfony/symfony,packagist,PHP,31058,0.0,95,95,100,"drupal/core, drupal/drupal, lexik/jwt-authentication-bundle, symfony/cache, symfony/dependency-injection, symfony/dom-crawler, symfony/error-handler, symfony/form, symfony/framework-bundle, symfony/ht"
FlowiseAI/Flowise,npm,TypeScript,53323,0.0,93,76,82,"Flowise, flowise, flowise-components, flowise-embed, flowise-ui"
